,md_earn_wne_p6,PREDDEG,HIGHDEG,CONTROL,NUMBRANCH,AVGFACSAL,TUITFTE,UGDS,UGDS_NRA,PPTUG_EF,UG25abv,PAR_ED_PCT_1STGEN,DEP_INC_AVG,IND_INC_AVG,COMP_ORIG_YR2_RT,WDRAW_ORIG_YR2_RT,ENRL_ORIG_YR2_RT,COMP_ORIG_YR4_RT,WDRAW_ORIG_YR4_RT,ENRL_ORIG_YR4_RT,OVERALL_YR2_N,OVERALL_YR3_N,OVERALL_YR4_N,OVERALL_YR6_N,OVERALL_YR8_N,count_nwne_p6,DEBT_MDN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN
0,25700,Predominantly bachelor's-degree granting,Graduate degree,Public,1,5406,4464,5029,0.0266,0.0809,0.1405,0.394878706,44420.54351,14562.0585,0.039946737683,0.28362183755,0.375499334221,0.234889058914,0.275439938791,0.154552410099,1502,1360,1307,1295,926,115,15747.0,22802.5,13250.0
1,35100,Predominantly bachelor's-degree granting,Graduate degree,Public,1,7796,4856,11060,0.0239,0.2756,0.2579,0.381621373,62889.85406,26222.93753,0.12607879925,0.242026266417,0.401500938086,0.255205811138,0.294430992736,0.15205811138,2665,2357,2065,1776,1913,186,10602.0,15000.0,7223.0
2,40600,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,1,3130,8901,371,0.0,0.1644,0.8437,0.51056338,63046.9115,36735.99089,0.152941176471,0.388235294118,0.258823529412,0.337423312883,0.447852760736,0.085889570552,170,142,163,109,37,17,12169.0,14692.5,12032.5
3,37900,Predominantly bachelor's-degree granting,Graduate degree,Public,1,7095,4734,5232,0.0361,0.2578,0.2661,0.335913313,70450.48107,28720.44578,0.090485074627,0.223880597015,0.432835820896,0.290868094701,0.235625704622,0.166854565953,1072,867,887,859,718,78,11000.0,15700.0,8763.5
4,22600,Predominantly bachelor's-degree granting,Graduate degree,Public,1,5473,5431,4455,0.0036,0.1122,0.1534,0.447219984,35553.46099,14225.09567,0.029715762274,0.312015503876,0.321059431525,0.172653534183,0.295480880649,0.134994206257,1548,1760,1726,1507,1323,158,12563.0,23776.0,9938.0
5,35900,Predominantly bachelor's-degree granting,Graduate degree,Public,1,7636,5511,17372,0.0108,0.0942,0.1094,0.300167069,83486.21381,23451.77697,0.075158227848,0.17207278481,0.544699367089,0.467037671233,0.185787671233,0.119434931507,2528,2347,2336,2388,2034,174,14500.0,16500.0,11000.0
6,23000,Predominantly associate's-degree granting,Associate degree,Public,1,5145,1124,2136,0.0,0.4415,0.3834,0.644038294,35371.6086,20266.78539,0.019543973941,0.257328990228,0.228013029316,0.031055900621,0.214285714286,0.062111801242,614,550,644,431,543,68,6000.0,7500.0,5910.0
7,34900,Predominantly bachelor's-degree granting,Bachelor's degree,Public,1,6473,2094,2436,0.0,0.5287,0.6738,0.530911901,64975.60883,33677.43511,0.324193548387,0.151612903226,0.382258064516,0.445993031359,0.277003484321,0.094076655052,620,605,574,597,430,68,12500.0,14285.0,9675.0
8,31400,Predominantly bachelor's-degree granting,Graduate degree,Public,1,6348,3891,4300,0.0047,0.3716,0.2644,0.421249333,51166.31703,24121.57953,0.098175499566,0.261511728931,0.311033883579,0.276302851524,0.206489675516,0.088495575221,1151,1100,1017,1008,1091,122,9147.0,15750.0,6625.0
9,39500,Predominantly bachelor's-degree granting,Graduate degree,Public,1,7743,7516,19222,0.0073,0.0761,0.0427,0.235176282,99135.59087,17847.85614,0.063310450038,0.18230358505,0.576659038902,0.376895306859,0.273646209386,0.116967509025,2622,2737,2770,2660,2418,203,13125.0,15687.0,11000.0
